accession_number	scientific_name	common_name	building	life_form	media_count
2011-0892A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	4
2011-0911A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	5
2011-0900A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	9
2011-0917A	Ulmus americana	American Elm,White Elm	NMNH	Deciduous tree	5
2011-0905A	Ulmus americana	American Elm,White Elm	NMNH	Deciduous tree	4
2011-0923A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	4
2011-0908A	Ulmus americana 'Jefferson'	American Elm cultivar	NMNH	Deciduous tree	13
2011-0914A	Ulmus americana	American Elm,White Elm	NMNH	Deciduous tree	4
2011-0918A	Ulmus americana	American Elm,White Elm	NMNH	Deciduous tree	5
2011-0912A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	4
2011-0920A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	5
2011-0919A	Ulmus americana	American Elm,White Elm	NMNH	Deciduous tree	5
2011-0921A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	3
2011-0966A	Ulmus americana 'Delaware'	American Elm cultivar	NMNH	Deciduous tree	4
2011-0973A	Ulmus americana 'Augustine'	American Elm cultivar	NMNH	Deciduous tree	3
2011-0978A	Ulmus americana 'Augustine'	American Elm cultivar	NMNH	Deciduous tree	4
2011-0976A	Ulmus americana 'Augustine'	American Elm cultivar	NMNH	Deciduous tree	3
2011-0979A	Ulmus americana 'Augustine'	American Elm cultivar	NMNH	Deciduous tree	3
2011-0965A	Ulmus americana 'Delaware'	American Elm cultivar	NMNH	Deciduous tree	3
2011-0972A	Ulmus americana 'Augustine'	American Elm cultivar	NMNH	Deciduous tree	3
2011-0971A	Ulmus americana 'Augustine'	American Elm cultivar	NMNH	Deciduous tree	3
2011-0977A	Ulmus americana 'Augustine'	American Elm cultivar	NMNH	Deciduous tree	3
2011-0967A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	3
2011-0988A	Ulmus americana 'Augustine'	American Elm cultivar	NMNH	Deciduous tree	3
2011-0969A	Ulmus americana 'Delaware'	American Elm cultivar	NMNH	Deciduous tree	5
2011-0993A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	3
2011-1003A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NMNH	Deciduous tree	3
2011-1147A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NASM	Deciduous tree	2
2011-1150A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NASM	Deciduous tree	2
2011-1123A	Zelkova serrata	Sawleaf Zelkova,Japanese Zelkova	NASM	Deciduous tree	2
2011-1157A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NASM	Deciduous tree	4
2011-1159A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NASM	Deciduous tree	2
2011-1156A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NASM	Deciduous tree	4
2011-1154A	Ulmus americana 'Delaware'	American Elm cultivar	NASM	Deciduous tree	5
2011-1155A	Ulmus americana 'Princeton'	Princeton Elm,American Elm cultivar,White Elm,Water Elm	NASM	Deciduous tree	3
2011-1357A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1360A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1364A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	4
2011-1358A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1354A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
2011-1367A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
2011-1370A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
2011-1374A	Ulmus americana	American Elm,White Elm	NMAI DC	Deciduous tree	4
2011-1359A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1366A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
2011-1361A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	2
2011-1377A	Ulmus americana 'New Harmony'	American Elm cultivar	NMAI DC	Deciduous tree	3
