width	height	ids_id
1333.0	2000.0	SG-2011-1328A-FAL1-HL
1333.0	2000.0	SG-2011-1328A-STE1-HL
1333.0	2000.0	SG-2011-1000A-LEF1-HL
1333.0	1999.0	SG-2011-1000A-BAR1-HL
1333.0	2000.0	SG-2011-1000A-FRU1-HL
2000.0	1333.0	SG-2011-1000A-LEF2-HL
2000.0	1334.0	SG-2011-1000A-SNP1-HL
1333.0	2000.0	SG-2011-1000A-FAL1-HL
1333.0	2000.0	SG-2011-1000A-WIN1-HL
1333.0	2000.0	SG-2011-1000A-LEB1-HL
1333.0	2000.0	SG-2011-1000A-BAR2-HL
2000.0	1333.0	SG-2011-1000A-STE1-HL
1333.0	2000.0	SG-2011-1000A-STE2-HL
1333.0	1999.0	SG-2011-1000A-STE3-HL
1333.0	2000.0	SG-2011-1275A-SUM1-HL
1333.0	2000.0	SG-2011-1275A-WIN1-HL
1333.0	2000.0	SG-2011-1275A-FAL1-HL
1334.0	2000.0	SG-2011-1320A-BAR1-HL
1333.0	2000.0	SG-2011-1320A-SPR1-HL
1333.0	2000.0	SG-2011-1320A-SUM1-HL
1333.0	2000.0	SG-2011-1320A-FAL1-HL
1333.0	1999.0	SG-2011-1320A-WIN1-HL
2000.0	1333.0	SG-2011-1320A-BAR2-HL
2000.0	1333.0	SG-2011-1324A-CON1-HL
		SG-2011-1324A-LEF1-HL
2000.0	1334.0	SG-2011-1324A-SNP1-HL
1333.0	2000.0	SG-2011-1324A-SPR1-HL
1333.0	2000.0	SG-2011-1324A-SUM1-HL
1334.0	2000.0	SG-2011-1324A-FAL1-HL
		SG-2011-1324A-WIN1-HL
2000.0	1333.0	SG-2011-1324A-LEB1-HL
2000.0	1333.0	SG-2011-1324A-STE2-HL
		SG-2011-1324A-STE1-HL
1333.0	2000.0	SG-2011-1324A-STE3-HL
2000.0	1334.0	SG-2011-1326A-SNP1-HL
2000.0	1334.0	SG-2011-1326A-SUM1-HL
1333.0	2000.0	SG-2011-1326A-FAL1-HL-000002
1333.0	2000.0	SG-2011-1326A-WIN1-HL
1333.0	1999.0	SG-2011-1326A-SPR1-HL
		SG-2011-1326A-BUD1-HL
1333.0	2000.0	SG-2011-1326A-FRU1-HL
2000.0	1333.0	SG-2011-1326A-LEB1-HL
2000.0	1334.0	SG-2011-1326A-LEF1-HL
		SG-2011-1326A-BUD2-HL
2000.0	1334.0	SG-2011-1326A-STE1-HL
2000.0	1334.0	SG-2011-1326A-STE2-HL
2000.0	1334.0	SG-2011-1326A-STE3-HL
1333.0	2000.0	SG-2011-1277A-WIN1-HL
		SG-2011-1277A-SUM1-HL
1333.0	2000.0	SG-2011-1277A-FAL1-HL
2000.0	1334.0	SG-2011-2676A-SUM1-HL
		SG-2011-2676A-WIN1-HL
1333.0	2000.0	SG-2011-1282A-SUM1-HL
1333.0	2000.0	SG-2011-1282A-FAL1-HL
1333.0	2000.0	SG-2011-1282A-WIN1-HL
2000.0	1334.0	SG-2011-1273A-SNP1-HL
1333.0	2000.0	SG-2011-1273A-FAL1-HL
		SG-2011-1273A-WIN1-HL
2000.0	1333.0	SG-2011-1273A-CON2-HL
		SG-2011-1273A-LEF1-HL
1333.0	1999.0	SG-2011-1273A-CON4-HL
2000.0	1334.0	SG-2011-1273A-BAR1-HL
2000.0	1333.0	SG-2011-1273A-CON1-HL
1333.0	2000.0	SG-2011-1273A-CON3-HL
2000.0	1333.0	SG-2011-1273A-LEB1-HL
1334.0	2000.0	SG-2011-1273A-STE2-HL
		SG-2011-1273A-STE3-HL
1333.0	2000.0	SG-2011-1273A-STE4-HL
1333.0	2000.0	SG-2011-1273A-STE1-HL
2000.0	1334.0	SG-2011-1273A-BAR2-HL
2000.0	1333.0	SG-2011-1323A-SPR1-HL
2000.0	1334.0	SG-2011-1323A-FAL1-HL
		SG-2011-1323A-WIN1-HL
1333.0	2000.0	SG-2011-1322A-SPR1-HL
2000.0	1333.0	SG-2011-1322A-SUM1-HL
2000.0	1333.0	SG-2011-1322A-FAL1-HL
2000.0	1333.0	SG-2011-1322A-WIN1-HL
1333.0	1999.0	SG-2011-2674A-SUM1-HL
